,hashtags
0,['COVID19']
1,
2,
3,"['NSW', 'COVID19']"
4,"['India', 'COVID19']"
5,"['covid19', 'coronavirus', 'marketing', 'leadership', 'realestate', 'business', 'hiring', 'jobs']"
6,
7,"['Unite2FightCorona', 'LargestVaccineDrive', 'COVID19', 'Covid_19', 'COVID19Aus', 'COVID']"
8,"['India', 'COVID19']"
9,"['Unite2FightCorona', 'LargestVaccineDrive', 'Covid_19', 'COVID19', 'Covid_19', 'cover', 'StaySafeStayHealthy', 'COVAXIN']"
10,['COVID19']
11,"['𝐂𝐎𝐕𝐈𝐃𝟏𝟗', 'AmritMahotsav']"
12,['COVID19']
13,"['India', 'COVID19']"
14,
15,"['UPDATE', 'COVID19', 'Covid_19', 'CoronavirusUpdates', 'community']"
16,['COVID19']
17,"['COVID19', 'mentalhealth']"
18,['COVID19']
19,"['COVID19', 'goodmorning', 'SaintsFC', 'COVID19']"
20,
21,"['PifzerGate', 'COVID19']"
22,['COVID19']
23,"['coronavirus', 'CoronaVirusUpdate', 'COVID19', 'CoronavirusPandemic']"
24,
25,
26,['COVID19']
27,"['covid19', 'QuerdenkerRausAusDerRegierung']"
28,"['Screen', 'Telegram', 'DataScience', 'Python', 'AI', '100DaysOfCode', 'flutter']"
29,"['IndiaFightsCorona', 'COVID19']"
30,
31,"['India', 'COVID19']"
32,"['India', 'coronavirus', 'India', 'COVID19']"
33,
34,"['IndiaFightsCorona', 'COVID19']"
35,
36,
37,"['yesItsyoutfault', 'sadbots']"
38,
39,"['𝐂𝐎𝐕𝐈𝐃𝟏𝟗', 'AmritMahotsav']"
40,"['AmritMahotsav', 'Unite2FightCorona', 'LargestVaccineDrive', 'COVID19']"
41,['IndiaFightsCorona']
42,"['BA5', 'SARSCoV2', 'COVID19']"
43,
44,
45,['Monkeypox']
46,"['IndiaFightsCorona', 'COVID19']"
47,"['COVID19', 'Ukraine', 'Ivermectin']"
48,"['Screen', 'Telegram', 'DataScience', 'Python', 'AI', '100DaysOfCode', 'flutter']"
49,"['BA5', 'SARSCoV2', 'COVID19']"
